Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
All Occupations(000000),   151853870,         0.0,       31.48,       65470,         0.3,       13.97,       17.14,       23.11,       37.01,       58.40,       29050,       35660,       48060,       76980,      121470
Management Occupations(110000),    10495770,         0.4,       66.23,      137750,         0.5,       26.23,       37.66,       56.19,       81.29,      111.36,       54550,       78330,      116880,      169090,      231620
Top Executives(111000),     3751510,         0.4,       65.43,      136100,         0.9,       22.31,       31.81,       49.74,       79.57,           -,       46400,       66170,      103460,      165500,           -
Chief Executives(111011),      211230,         1.4,      124.47,      258900,         0.7,       38.46,       62.90,       99.37,           -,           -,       80000,      130840,      206680,           -,           -
General and Operations Managers(111021),     3507810,         0.4,       62.18,      129330,         0.9,       22.28,       31.34,       48.69,       77.06,      111.59,       46340,       65180,      101280,      160290,      232110
Legislators(111031),       32460,         1.7,           -,       68140,         1.3,           -,           -,           -,           -,           -,       21010,       28810,       47290,       82200,      129510
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers(112000)",     1070030,         1.5,       76.90,      159960,         0.3,       33.26,       47.68,       67.23,       96.15,           -,       69170,       99180,      139850,      199990,           -
Advertising and Promotions Managers(112011),       20630,         2.9,       73.38,      152620,         2.7,       30.57,       42.70,       63.40,       90.64,           -,       63580,       88810,      131870,      188530,           -
Marketing and Sales Managers(112020),      944820,         1.5,       77.43,      161040,         0.3,       33.01,       47.97,       68.17,       97.11,           -,       68660,       99780,      141780,      201990,           -
Marketing Managers(112021),      368940,         1.8,       80.00,      166410,         0.3,       38.27,       51.92,       75.78,      100.00,           -,       79600,      108000,      157620,      208000,           -
Sales Managers(112022),      575880,         1.3,       75.77,      157610,         0.3,       30.62,       44.97,       64.98,       94.57,           -,       63700,       93540,      135160,      196700,           -
Public Relations and Fundraising Managers(112030),      104570,         2.7,       72.87,      151570,         0.9,       35.59,       46.24,       62.73,       85.66,           -,       74030,       96180,      130480,      178180,           -
Public Relations Managers(112032),       72760,         3.2,       76.65,      159420,         1.0,       36.61,       47.69,       64.79,       92.23,           -,       76160,       99180,      134760,      191840,           -
Fundraising Managers(112033),       31810,         1.9,       64.24,      133620,         0.9,       33.08,       41.77,       57.31,       78.20,      102.27,       68800,       86880,      119200,      162660,      212730
